strategy,instances,avg_time
INFORMATION_GAIN_MR,44,5.247098326683044
INFORMATION_GAIN_MR,36,5.99046778678894
INFORMATION_GAIN_MR,33,5.290363907814026
INFORMATION_GAIN_MR,22,5.002132654190063
INFORMATION_GAIN_MR,20,5.302469253540039
INFORMATION_GAIN_MR,18,4.656614542007446
INFORMATION_GAIN_MR,27,5.280021905899048
INFORMATION_GAIN_MR,26,5.015592813491821
INFORMATION_GAIN_MR,11,4.162557125091553
GINI_IMPURITY_MR,1209,13.492757606506348
GINI_IMPURITY_MR,478,3.890440464019775
GINI_IMPURITY_MR,486,3.414066215356191
GINI_IMPURITY_MR,11,3.710875749588012
GINI_IMPURITY_MR,2,3.912516355514526
GINI_IMPURITY_MR,1,0.013995766639709
GINI_IMPURITY_MR,230,3.662421250343322
GINI_IMPURITY_MR,54,6.28239631652832
GINI_IMPURITY_MR,52,6.145968437194824
GINI_IMPURITY_MR,51,6.087920665740967
GINI_IMPURITY_MR,247,5.943284273147583
GINI_IMPURITY_MR,228,6.551555395126343
GINI_IMPURITY_MR,223,5.682541608810425
GINI_IMPURITY_MR,254,5.196849226951599
GINI_IMPURITY_MR,215,5.442441463470459
GINI_IMPURITY_MR,185,5.525182485580444
GINI_IMPURITY_MR,161,5.3904829025268555
GINI_IMPURITY_MR,129,5.4901721477508545
GINI_IMPURITY_MR,121,5.631443500518799
GINI_IMPURITY_MR,203,5.759549498558044
GINI_IMPURITY_MR,186,5.515684604644775
GINI_IMPURITY_MR,178,5.4219794273376465
GINI_IMPURITY_MR,191,5.242931365966797
GINI_IMPURITY_MR,171,6.58133339881897
GAIN_RATIO_MR,486,4.456077814102173
GAIN_RATIO_MR,89,4.316007614135742
GAIN_RATIO_MR,88,3.5870413780212402
GAIN_RATIO_MR,83,3.28656260172526
GAIN_RATIO_MR,73,3.261652469635009
GAIN_RATIO_MR,59,2.22104799747467
GAIN_RATIO_MR,230,4.095909118652344
GAIN_RATIO_MR,90,3.474073648452759
GAIN_RATIO_MR,52,1.355738639831543
GAIN_RATIO_MR,25,0.619885683059692
GAIN_RATIO_MR,21,0.00100564956665
GAIN_RATIO_MR,247,4.069980144500732
GAIN_RATIO_MR,95,4.435234904289246
GAIN_RATIO_MR,94,3.336864233016967
GAIN_RATIO_MR,86,3.441424369812011
GAIN_RATIO_MR,84,3.40514588356018
GAIN_RATIO_MR,79,3.325742721557617
GAIN_RATIO_MR,63,3.243008375167846
GAIN_RATIO_MR,56,3.170758366584778
